Iteration,Avg Residual,Avg Error
229,-0.0293902,0.114542
230,-0.0293786,0.114502
231,-0.0293669,0.114461
232,-0.0293553,0.114421
233,-0.0293437,0.11438
234,-0.0293322,0.11434
235,-0.0293206,0.1143
236,-0.029309,0.11426
237,-0.0292975,0.11422
238,-0.029286,0.114179
239,-0.0292744,0.114139
240,-0.0292629,0.114099
241,-0.0292514,0.11406
242,-0.0292399,0.11402
243,-0.0292285,0.11398
244,-0.029217,0.11394
245,-0.0292055,0.1139
246,-0.0291941,0.113861
247,-0.0291827,0.113821
248,-0.0291712,0.113781
249,-0.0291598,0.113742
250,-0.0291484,0.113702
251,-0.029137,0.113663
252,-0.0291257,0.113624
253,-0.0291143,0.113584
254,-0.0291029,0.113545
255,-0.0290916,0.113506
256,-0.0290803,0.113467
257,-0.0290689,0.113428
258,-0.0290576,0.113389
259,-0.0290463,0.11335
260,-0.0290351,0.113311
261,-0.0290238,0.113272
262,-0.0290125,0.113233
263,-0.0290013,0.113194
264,-0.02899,0.113155
265,-0.0289788,0.113116
266,-0.0289676,0.113078
267,-0.0289564,0.113039
268,-0.0289452,0.113001
269,-0.028934,0.112962
270,-0.0289228,0.112924
271,-0.0289116,0.112885
272,-0.0289005,0.112847
273,-0.0288893,0.112808
274,-0.0288782,0.11277
275,-0.0288671,0.112732
276,-0.0288559,0.112694
277,-0.0288448,0.112656
278,-0.0288338,0.112618
279,-0.0288227,0.11258
280,-0.0288116,0.112542
281,-0.0288005,0.112504
282,-0.0287895,0.112466
283,-0.0287785,0.112428
284,-0.0287674,0.11239
285,-0.0287564,0.112352
286,-0.0287454,0.112315
287,-0.0287344,0.112277
288,-0.0287234,0.112239
289,-0.0287125,0.112202
290,-0.0287015,0.112164
291,-0.0286905,0.112127
292,-0.0286796,0.112089
293,-0.0286687,0.112052
294,-0.0286577,0.112015
295,-0.0286468,0.111977
296,-0.0286359,0.11194
297,-0.028625,0.111903
298,-0.0286142,0.111866
299,-0.0286033,0.111829
300,-0.0285924,0.111792
301,-0.0285816,0.111755
302,-0.0285707,0.111718
303,-0.0285599,0.111681
304,-0.0285491,0.111644
305,-0.0285383,0.111607
306,-0.0285275,0.11157
307,-0.0285167,0.111534
308,-0.0285059,0.111497
309,-0.0284952,0.11146
310,-0.0284844,0.111424
311,-0.0284737,0.111387
312,-0.0284629,0.111351
313,-0.0284522,0.111314
314,-0.0284415,0.111278
315,-0.0284308,0.111241
316,-0.0284201,0.111205
317,-0.0284094,0.111169
318,-0.0283987,0.111132
319,-0.0283881,0.111096
320,-0.0283774,0.11106
321,-0.0283668,0.111024
322,-0.0283561,0.110988
323,-0.0283455,0.110952
324,-0.0283349,0.110916
325,-0.0283243,0.11088
326,-0.0283137,0.110844
327,-0.0283031,0.110808
328,-0.0282925,0.110773
329,-0.028282,0.110737
330,-0.0282714,0.110701
331,-0.0282609,0.110665
332,-0.0282503,0.11063
333,-0.0282398,0.110594
334,-0.0282293,0.110559
335,-0.0282188,0.110523
336,-0.0282083,0.110488
337,-0.0281978,0.110452
338,-0.0281873,0.110417
339,-0.0281768,0.110382
340,-0.0281664,0.110346
341,-0.0281559,0.110311
342,-0.0281455,0.110276
