title,operational_intensity,achieved_performance,computation_time,avg_time_per_iter,error,iter_count,total_tflops,total_tbytes,color
MPI 3D np=8 -O2,0.203125,0.0270585,5.01672,0.000470832,0.222296,10655,135744700000,668281600000,darkslategrey
MPI 3D np=8 -O2,0.203125,0.0290492,4.67292,0.000438566,0.222296,10655,135744700000,668281600000,darkslategrey
MPI 3D np=8 -O2,0.203125,0.0227722,11.1891,0.000559454,0.355156,20000,254800000000,1254400000000,darkslategrey
MPI 3D np=8 -O2,0.203125,0.0209973,12.1349,0.000606744,0.355156,20000,254800000000,1254400000000,darkslategrey
MPI 3D np=8 -O2,0.203125,0.0286835,3.47642,0.000444158,0.208598,7827,99715980000,490909440000,darkslategrey
MPI 3D np=8 -O2,0.203125,0.0303497,3.28556,0.000419773,0.208598,7827,99715980000,490909440000,darkslategrey
MPI 3D np=8 -O2,0.203125,0.0303755,3.28278,0.000419417,0.208598,7827,99715980000,490909440000,darkslategrey
